"Company.x","Address","Cost_Normal","Company.y","Cost_Premium","lon","lat","geoAddress"
"Royal Gas","37 Milton St Dedham MA 02026",3.59,NA,NA,-71.1538403,42.2463748,"37 milton st, dedham, ma 02026, usa"
"Gulf","195 Market St Brighton MA 02135",4.39,"Gulf",5.39,-71.1496326,42.3559801,"195 market st, brighton, ma 02135, usa"
"Cumberland Farms #003524","148 Chestnut Hill Ave Brighton MA 02135",3.65,"Cumberland Farms #003524",4.39,-71.1538101,42.3422072,"148 chestnut hill ave, boston, ma 02135, usa"
"Brighton Motor Service","118 North Beacon St Brighton MA 02135",3.96,NA,NA,-71.1445499,42.3547633,"118 n beacon st, brighton, ma 02135, usa"
"Sunoco","602 Washington St Brighton MA 02135",3.79,NA,NA,-71.16741,42.3503482,"602 washington st, brighton, ma 02135, usa"
"Sunoco","2022 Commonwealth Ave Brighton MA 02135",3.69,"Sunoco",4.69,-71.160142,42.3397057,"2022 commonwealth ave, brighton, ma 02135, usa"
"Allston Car Wash","434 Cambridge St Allston MA 02134",3.59,"Allston Car Wash",4.26,-71.1348949,42.3542352,"434 cambridge st, allston, ma 02134, usa"
"Eastcoast Gas","354 Arsenal St Watertown MA 02472",3.69,NA,NA,-71.1664005,42.363962,"354 arsenal st, watertown, ma 02472, usa"
"Speedway #2448","100 Brighton Ave Allston MA 02134",3.69,"Speedway #2448",4.49,-71.1297191,42.3525562,"100 brighton ave, allston, ma 02134, usa"
"Mutual","619 Mount Auburn St Watertown MA 02472",3.55,NA,NA,-71.1581501,42.3708857,"619 mt auburn st, watertown, ma 02472, usa"
"Gulf","194 Western Avenue Allston MA 02134",3.69,NA,NA,-71.1304161,42.3629534,"194 western ave, allston, ma 02134, usa"
"Mt Auburn Mobil","660 Mount Auburn St Watertown MA 02472",3.75,"Mt Auburn Mobil",4.59,-71.1574219,42.3720613,"660 mt auburn st, watertown, ma 02472, usa"
"Shell","219 Cambridge St Allston MA 02134",3.65,"Shell",4.48,-71.1262609,42.3582609,"219 cambridge st, allston, ma 02134, usa"
"Sunoco","170 Galen St Watertown MA 02472",3.79,NA,NA,-71.1850241,42.3591864,"170 galen st, watertown, ma 02472, usa"
"Speedway #2518","22 North Beacon St Watertown MA 02472",3.57,"Speedway #2518",4.47,-71.181353,42.3648467,"22 n beacon st, watertown, ma 02472, usa"
"Bp","110 Galen St Watertown MA 02472",3.79,"Bp",4.89,-71.185349,42.3615809,"110 galen st, watertown, ma 02472, usa"
"Belmont Auto Clinic","180 Belmont St Watertown MA 02472",3.59,NA,NA,-71.1580572,42.3758811,"180 belmont st, watertown, ma 02472, usa"
"R S Service","361 Washington St Newton MA 02458",3.99,NA,NA,-71.1882034,42.3566992,"361 washington st, newton, ma 02458, usa"
"Bp","792 Truman Hwy Hyde Park MA 02136",4.49,NA,NA,-71.1225821,42.2496288,"792 truman pkwy, boston, ma 02136, usa"
"Rogers Service","1820 Hyde Park Ave Hyde Park MA 02136",3.39,"Rogers Service",4.59,-71.1317268,42.2370464,"1820 hyde park ave, readville, ma 02136, usa"
"Readville Mobil","264 Neponset Valley Pkwy Hyde Park MA 02136",3.39,"Readville Mobil",4.59,-71.127656,42.2363028,"264 neponset valley pkwy, hyde park, ma 02136, usa"
"4 Corner Citgo","197 Milton St Dedham MA 02026",3.49,"4 Corner Citgo",4.59,-71.1485418,42.2424074,"197 milton st, dedham, ma 02026, usa"
"Simons Auto Repair","511 Sprague St Dedham MA 02026",3.59,NA,NA,-71.1396468,42.2330257,"511 sprague st, dedham, ma 02026, usa"
"Frannies Corner","940 Canton Ave Milton MA 02186",3.79,NA,NA,-71.0949262,42.2443327,"940 canton ave, milton, ma 02186, usa"
"Shell","901 East St Dedham MA 02026",3.49,"Shell",4.39,-71.1599835,42.2319029,"901 east st, dedham, ma 02026, usa"
